PROJECT_ID,PROJECT_NAME,PROJECT_CUSTOMER,PROJECT_VERTICAL,PROJECT_EXECUTION_UNIT,PROJECT_TYPE,PROJECT_STATUS,PROJECT_MANAGER_ID,PROJECT_MANAGER_NAME,ASDM_NUMBER,ASDM_NAME,PM_STATUS,BILLING_CYCLE_START_DATE,BILLING_CYCLE_END_DATE,Vertical,Unit,Commercial Model
PID_01,PRJ_01,CUST_01,PRJ_Vert_01,PRJ_Exec_01,Standard Billable,Active,PM_01,Project_Manager_01,ASDM_01,Account_Service_Delivery_Manager_01,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_01
PID_02,PRJ_02,CUST_02,PRJ_Vert_02,PRJ_Exec_02,Standard Billable,Active,PM_02,Project_Manager_02,ASDM_02,Account_Service_Delivery_Manager_02,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_02
PID_03,PRJ_03,CUST_03,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_03,Project_Manager_03,ASDM_03,Account_Service_Delivery_Manager_03,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_03
PID_04,PRJ_04,CUST_04,PRJ_Vert_04,PRJ_Exec_04,Standard Billable,Active,PM_04,Project_Manager_04,ASDM_04,Account_Service_Delivery_Manager_04,Confirmed,01-03-2026,31-03-2026,Vertical_04,Unit_01,Commercial_Model_04
PID_08,PRJ_08,CUST_08,PRJ_Vert_02,PRJ_Exec_07,Standard Billable,Active,PM_08,Project_Manager_08,ASDM_08,Account_Service_Delivery_Manager_08,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_02,Commercial_Model_03
PID_09,PRJ_09,CUST_09,PRJ_Vert_04,PRJ_Exec_08,Standard Billable,Active,PM_09,Project_Manager_09,ASDM_09,Account_Service_Delivery_Manager_09,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_04,Unit_01,Commercial_Model_04
PID_10,PRJ_10,CUST_10,PRJ_Vert_04,PRJ_Exec_08,Standard Billable,Active,PM_10,Project_Manager_10,ASDM_10,Account_Service_Delivery_Manager_10,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_04,Unit_01,Commercial_Model_01
PID_11,PRJ_11,CUST_11,PRJ_Vert_05,PRJ_Exec_09,Standard Billable,Active,PM_11,Project_Manager_11,ASDM_11,Account_Service_Delivery_Manager_11,Confirmed,01-03-2026,31-03-2026,Vertical_05,Unit_01,Commercial_Model_04
PID_12,PRJ_12,CUST_12,PRJ_Vert_03,PRJ_Exec_10,Standard Billable,Active,PM_12,Project_Manager_12,ASDM_12,Account_Service_Delivery_Manager_12,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_02,Commercial_Model_02
PID_13,PRJ_13,CUST_13,PRJ_Vert_06,PRJ_Exec_11,Standard Billable,Active,PM_13,Project_Manager_13,ASDM_13,Account_Service_Delivery_Manager_13,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_06,Unit_01,Commercial_Model_04
